Reference, Quantity,Manufacturer, MPN, DPN, Footprint
C19 C26 ,2,Rubycon,10SGV100M6.3X6.1,1189-2392-1-ND,drone_footprints:10SGV100M6.3X6.1
C21 ,1,Murata Electronics,GRM2195C1H123GA01D,490-11580-1-ND,Capacitors_SMD:C_0805
C23 ,1,Samsung Electro-Mechanics,CL21C121JDCNNNC,1276-1201-1-ND,Capacitors_SMD:C_0805
C24 C25 ,2,Taiyo Yuden,JMK212BJ476MG-T,587-1779-1-ND,Capacitors_SMD:C_0805
C37 ,1,Murata Electronics,GRM21BR71C475KE51L,490-14466-1-ND,Capacitors_SMD:C_0805
C38 ,1,KEMET,C0805C105Z4VACTU,399-8011-1-ND,Capacitors_SMD:C_0805
C4 C2 ,2,Yageo,CC0805DRNPO9BN8R0,311-1097-1-ND,Capacitors_SMD:C_0805
C43 C18 C34 C33 C27 C30 ,6,Murata Electronics,GRM21BR61E106KA73K,490-16824-1-ND,Capacitors_SMD:C_0805
C6 C10 C11 C12 C14 C15 C13 C1 C20 C22 C31 C32 C36 C40 C39 C41 C35 ,17,AVX Corporation,08055C104JAT2A,478-3352-1-ND,Capacitors_SMD:C_0805
C7 C42 ,2,Nichicon,UWT0G221MCL6GS,493-9872-1-ND,drone_footprints:UWT0G221MCL6GS
C9 C8 C3 C5 C16 C17 C29 C28 ,8,TDK Corporation,CGB4B1X6S1C225K055AC,445-13254-1-ND,Capacitors_SMD:C_0805
D2 D1 D6 D7 ,4,Nexperia USA Inc.,"PMEG1030EJ,115",1727-3852-1-ND,Diodes_SMD:D_SOD-323F
D3 ,1,Nexperia USA Inc.,"PMEG2020CPA,115",1727-5194-1-ND,drone_footprints:SOT1061
D4 ,1,Littelfuse Inc.,PESD0402-140,PESD0402-140CT-ND,Capacitors_SMD:C_0402
D8 D5 ,2,OSRAM Opto Semiconductors Inc.,LG R971-KN-1,475-1410-1-ND,drone_footprints:LED_0805
D9 ,1,OSRAM Opto Semiconductors Inc.,LG R976-NR-1,475-1278-1-ND,drone_footprints:LED_0805
F1 ,1,Bel Fuse Inc.,0ZCJ0200FF2C,507-1809-1-ND,Fuse_Holders_and_Fuses:Fuse_SMD1206_HandSoldering
F2 F3 ,2,Bel Fuse Inc.,0ZCK0050FF2E,507-1813-1-ND,Resistors_SMD:R_0805_HandSoldering
FL1 FL2 ,2,Murata Electronics,NFL21SP107X1C3D,490-2540-1-ND,drone_footprints:NFL21SP107X1C3D
J1 ,1,Molex,473460001,WM17141CT-ND,Connectors_USB:USB_Micro-B_Molex_47346-0001
J10 ,1,N/A,N/A,SAM10844-ND,drone_footprints:TSW-102-07-F-S
J2 ,1,3M,2908-05WB-MG,3M5607CT-ND,drone_footprints:2908-05WB-MG
J3 ,1,N/A,N/A,N/A,drone_footprints:rpi_zero_w
J4 ,1,JST Sales America Inc.,SM08B-SRSS-TB(LF)(SN),455-1808-1-ND,drone_footprints:JST_SM08B-SRSS-TB(LF)(SN)
J5 ,1,JST Sales America Inc.,SM06B-GHS-TB(LF)(SN),455-1568-1-ND,drone_footprints:JST_SM06B-GHS-TB(LF)(SN)
J6 ,1,JST Sales America Inc.,SM04B-GHS-TB(LF)(SN)-,455-1566-1-ND,drone_footprints:JST_SM04B-GHS-TB(LF)(SN)-
J7 ,1,JST Sales America Inc.,SM05B-GHS-TB(LF)(SN),455-1567-1-ND,drone_footprints:SM05B-GHS-TBLFSN
J8 J9 ,2,N/A,N/A,N/A,drone_footprints:TSW-103-07-F-D
L2 ,1,Würth Elektronik,744066150,732-1077-1-ND,drone_footprints:744066150
Q2 ,1,ON Semiconductor,NTA4151PT1G,NTA4151PT1GOSCT-ND,drone_footprints:NTA4151PT1G
R1 R2 ,2,Bourns Inc.,CR0805-FX-22R0ELF,CR0805-FX-22R0ELFCT-ND,Resistors_SMD:R_0805
